#,Song,Artist,Notes,Rating
1,Habanero,Tech N9ne feat. Mackenzie Nicole,,5
2,Chloraseptic - Remix,"Eminem feat. 2 Chainz, PHresher",,4
3,Better Than I Used To Be,Mat Kearney feat. AFSHEEN,,4
4,Wanted Man,Mat Kearney,,4
5,Freaky Friday,Lil Dicky feat. Chris Brown,,5
6,My Name Is Mars,Capital Cities,,5
7,The Ringer,Eminem,,5
8,Greatest,Eminem,,5
9,Lucky You,Eminem feat. Joyner Lucas,,4
10,Not Alike,"Eminem feat. Royce Da 5'9""",,4
11,RAP DEVIL,Machine Gun Kelly,,4
12,Killshot,Eminem,,4
13,Light Up The Room,Plain White T's,,5
14,Bury Me,Plain White T's,,3
15,No Limitations,Plain White T's,,4
16,XO,Lupe Fiasco feat. Troi Irons,,2
17,BACK 2 HIPHOP,Black Eyed Peas feat. Nas,,3
18,ALL AROUND THE WORLD,"Black Eyed Peas feat. Phife Dawg, Ali Shaheed Muhammed, Posdnuos",,3
19,Natural,Imagine Dragons,,3
20,Klutz,Aesop Rock,,4
21,Place To Start,Mike Shinoda,,4
22,Crossing A Lline,Mike Shinoda,,4
23,Make It Up As I Go,Mike Shinoda feat. K.Flay,,3
24,Lie,NF,,4
25,Jello,PRETTYMUCH,,3